profile_name,feature,feature_value,predicted_success_probability,reference_value
borderline_tpp,log1p_journey_length,1.0986123085021973,0.48910707235336304,2.995732307434082
borderline_tpp,log1p_journey_length,1.1568154803777144,0.48954063653945923,2.995732307434082
borderline_tpp,log1p_journey_length,1.2150186522532318,0.4899742603302002,2.995732307434082
borderline_tpp,log1p_journey_length,1.273221824128749,0.4904046058654785,2.995732307434082
borderline_tpp,log1p_journey_length,1.3314249960042663,0.49080657958984375,2.995732307434082
borderline_tpp,log1p_journey_length,1.3896281678797835,0.491208553314209,2.995732307434082
borderline_tpp,log1p_journey_length,1.4478313397553007,0.491610586643219,2.995732307434082
borderline_tpp,log1p_journey_length,1.506034511630818,0.4920125901699066,2.995732307434082
borderline_tpp,log1p_journey_length,1.5642376835063352,0.4924146234989166,2.995732307434082
borderline_tpp,log1p_journey_length,1.6224408553818526,0.49281665682792664,2.995732307434082
borderline_tpp,log1p_journey_length,1.6806440272573697,0.49321871995925903,2.995732307434082
borderline_tpp,log1p_journey_length,1.7388471991328869,0.4936208128929138,2.995732307434082
borderline_tpp,log1p_journey_length,1.7970503710084043,0.49402281641960144,2.995732307434082
borderline_tpp,log1p_journey_length,1.8552535428839216,0.4944249093532562,2.995732307434082
borderline_tpp,log1p_journey_length,1.9134567147594388,0.494827002286911,2.995732307434082
borderline_tpp,log1p_journey_length,1.971659886634956,0.4952290654182434,2.995732307434082
borderline_tpp,log1p_journey_length,2.029863058510473,0.4956311583518982,2.995732307434082
borderline_tpp,log1p_journey_length,2.0880662303859907,0.49601876735687256,2.995732307434082
borderline_tpp,log1p_journey_length,2.146269402261508,0.496274471282959,2.995732307434082
borderline_tpp,log1p_journey_length,2.204472574137025,0.4965302348136902,2.995732307434082
borderline_tpp,log1p_journey_length,2.262675746012542,0.4967859387397766,2.995732307434082
borderline_tpp,log1p_journey_length,2.3208789178880593,0.4970416724681854,2.995732307434082
borderline_tpp,log1p_journey_length,2.3790820897635765,0.4972974359989166,2.995732307434082
borderline_tpp,log1p_journey_length,2.4372852616390936,0.49755311012268066,2.995732307434082
borderline_tpp,log1p_journey_length,2.4954884335146112,0.49780887365341187,2.995732307434082
borderline_tpp,log1p_journey_length,2.5536916053901284,0.4980645775794983,2.995732307434082
borderline_tpp,log1p_journey_length,2.611894777265646,0.4983203411102295,2.995732307434082
borderline_tpp,log1p_journey_length,2.670097949141163,0.4985760450363159,2.995732307434082
borderline_tpp,log1p_journey_length,2.7283011210166803,0.4988318085670471,2.995732307434082
borderline_tpp,log1p_journey_length,2.7865042928921975,0.49908751249313354,2.995732307434082
borderline_tpp,log1p_journey_length,2.8447074647677146,0.49934330582618713,2.995732307434082
borderline_tpp,log1p_journey_length,2.902910636643232,0.49959900975227356,2.995732307434082
borderline_tpp,log1p_journey_length,2.961113808518749,0.49985471367836,2.995732307434082
borderline_tpp,log1p_journey_length,2.995732307434082,0.5000068545341492,2.995732307434082
borderline_tpp,log1p_journey_length,3.019316980394266,0.5001104474067688,2.995732307434082
borderline_tpp,log1p_journey_length,3.0775201522697837,0.5003662109375,2.995732307434082
borderline_tpp,log1p_journey_length,3.135723324145301,0.5006219744682312,2.995732307434082
borderline_tpp,log1p_journey_length,3.193926496020818,0.5008776783943176,2.995732307434082
borderline_tpp,log1p_journey_length,3.2521296678963356,0.5011334419250488,2.995732307434082
borderline_tpp,log1p_journey_length,3.3103328397718528,0.50138920545578,2.995732307434082
