tier1_threshold,tier2_threshold,tier3_threshold,logloss,auc,tier_0_count,tier_1_count,tier_2_count,tier_3_count,pred_mean,pred_std
0.61,0.75,0.87,0.017037659741075302,0.9993294947368421,47328,40,29,2603,0.052219115,0.22136621
0.61,0.85,0.9099999999999999,0.017037659741075302,0.9993294947368421,47328,56,29,2587,0.05198096,0.22085987
0.6799999999999999,0.7,0.75,0.017037659741075302,0.9993294947368421,47345,5,18,2632,0.052486066,0.22204795
0.6799999999999999,0.7,0.79,0.017037659741075302,0.9993294947368421,47345,5,21,2629,0.052469857,0.22200543
0.6799999999999999,0.7,0.83,0.017037659741075302,0.9993294947368421,47345,5,31,2619,0.052407436,0.22183558
0.6799999999999999,0.7,0.87,0.017037659741075302,0.9993294947368421,47345,5,47,2603,0.052294116,0.22151616
0.6799999999999999,0.7,0.9099999999999999,0.017037659741075302,0.9993294947368421,47345,5,63,2587,0.052167956,0.22114849
0.6799999999999999,0.7,0.95,0.017037659741075302,0.9993294947368421,47345,5,94,2556,0.05189873,0.22033717
0.61,0.85,0.95,0.017037659741075302,0.9993294947368421,47328,56,60,2556,0.051711727,0.22004722
0.75,0.85,0.9099999999999999,0.017037659741075302,0.9993294947368421,47368,16,29,2587,0.05186096,0.22084734
0.54,0.65,0.87,0.017037659741075302,0.9993294947368421,47309,28,60,2603,0.05249312,0.22163913
0.54,0.65,0.79,0.017037659741075302,0.9993294947368421,47309,28,34,2629,0.052668862,0.22212797
0.47000000000000003,0.6,0.79,0.017037659741075302,0.9993294947368421,47295,29,47,2629,0.05280186,0.22224371
0.47000000000000003,0.6,0.75,0.017037659741075302,0.9993294947368421,47295,29,44,2632,0.052818067,0.22228615
0.4,0.85,0.95,0.017037659741075302,0.9993294947368421,47277,107,60,2556,0.051864732,0.22006337
0.4,0.85,0.9099999999999999,0.017037659741075302,0.9993294947368421,47277,107,29,2587,0.05213396,0.22087577
0.4,0.85,0.87,0.017037659741075302,0.9993294947368421,47277,107,13,2603,0.052260116,0.22124392
0.4,0.8,0.95,0.017037659741075302,0.9993294947368421,47277,96,71,2556,0.05194173,0.2201589
0.4,0.8,0.9099999999999999,0.017037659741075302,0.9993294947368421,47277,96,40,2587,0.05221096,0.22097084
0.4,0.8,0.87,0.017037659741075302,0.9993294947368421,47277,96,24,2603,0.052337117,0.2213388
0.4,0.8,0.83,0.017037659741075302,0.9993294947368421,47277,96,8,2619,0.05245044,0.22165844
0.4,0.75,0.95,0.017037659741075302,0.9993294947368421,47277,91,76,2556,0.051976733,0.22020231
0.4,0.75,0.9099999999999999,0.017037659741075302,0.9993294947368421,47277,91,45,2587,0.052245963,0.22101404
0.4,0.75,0.87,0.017037659741075302,0.9993294947368421,47277,91,29,2603,0.05237212,0.22138189
0.4,0.75,0.83,0.017037659741075302,0.9993294947368421,47277,91,13,2619,0.05248544,0.22170146
0.4,0.75,0.79,0.017037659741075302,0.9993294947368421,47277,91,3,2629,0.052547865,0.22187139
0.4,0.7,0.95,0.017037659741075302,0.9993294947368421,47277,73,94,2556,0.052102726,0.22035845
0.4,0.7,0.9099999999999999,0.017037659741075302,0.9993294947368421,47277,73,63,2587,0.052371956,0.22116946
0.4,0.7,0.87,0.017037659741075302,0.9993294947368421,47277,73,47,2603,0.052498117,0.22153696
0.4,0.6,0.79,0.017037659741075302,0.9993294947368421,47277,47,47,2629,0.052855864,0.22224908
0.4,0.6,0.83,0.017037659741075302,0.9993294947368421,47277,47,57,2619,0.052793436,0.22207953
0.4,0.6,0.87,0.017037659741075302,0.9993294947368421,47277,47,73,2603,0.052680116,0.22176065
0.4,0.6,0.9099999999999999,0.017037659741075302,0.9993294947368421,47277,47,89,2587,0.05255396,0.22139362
0.4,0.6,0.95,0.017037659741075302,0.9993294947368421,47277,47,120,2556,0.052284736,0.22058366
0.4,0.65,0.75,0.017037659741075302,0.9993294947368421,47277,60,31,2632,0.052781053,0.22218008
0.47000000000000003,0.6,0.83,0.017037659741075302,0.9993294947368421,47295,29,57,2619,0.052739438,0.22207412
0.4,0.65,0.79,0.017037659741075302,0.9993294947368421,47277,60,34,2629,0.052764855,0.22213762
0.4,0.65,0.87,0.017037659741075302,0.9993294947368421,47277,60,60,2603,0.05258911,0.22164887
0.4,0.65,0.9099999999999999,0.017037659741075302,0.9993294947368421,47277,60,76,2587,0.052462958,0.2212816
0.4,0.65,0.95,0.017037659741075302,0.9993294947368421,47277,60,107,2556,0.052193727,0.22047111
0.4,0.7,0.75,0.017037659741075302,0.9993294947368421,47277,73,18,2632,0.052690063,0.22206855
0.4,0.7,0.79,0.017037659741075302,0.9993294947368421,47277,73,21,2629,0.052673858,0.22202602
0.4,0.7,0.83,0.017037659741075302,0.9993294947368421,47277,73,31,2619,0.05261143,0.22185625
0.4,0.65,0.83,0.017037659741075302,0.9993294947368421,47277,60,44,2619,0.052702438,0.22196794
0.54,0.65,0.83,0.017037659741075302,0.9993294947368421,47309,28,44,2619,0.05260644,0.22195826
0.47000000000000003,0.6,0.87,0.017037659741075302,0.9993294947368421,47295,29,73,2603,0.05262612,0.22175524
0.47000000000000003,0.6,0.95,0.017037659741075302,0.9993294947368421,47295,29,120,2556,0.052230727,0.22057807
0.54,0.65,0.75,0.017037659741075302,0.9993294947368421,47309,28,31,2632,0.052685067,0.22217044
0.54,0.6,0.95,0.017037659741075302,0.9993294947368421,47309,15,120,2556,0.052188735,0.22057375
0.54,0.6,0.9099999999999999,0.017037659741075302,0.9993294947368421,47309,15,89,2587,0.052457962,0.22138387
0.54,0.6,0.87,0.017037659741075302,0.9993294947368421,47309,15,73,2603,0.052584127,0.22175097
0.54,0.6,0.83,0.017037659741075302,0.9993294947368421,47309,15,57,2619,0.05269743,0.22206992
0.54,0.6,0.79,0.017037659741075302,0.9993294947368421,47309,15,47,2629,0.052759863,0.2222395
0.54,0.6,0.75,0.017037659741075302,0.9993294947368421,47309,15,44,2632,0.052776065,0.22228193
0.47000000000000003,0.85,0.95,0.017037659741075302,0.9993294947368421,47295,89,60,2556,0.051810734,0.22005768
0.47000000000000003,0.85,0.9099999999999999,0.017037659741075302,0.9993294947368421,47295,89,29,2587,0.05207996,0.22087015
0.47000000000000003,0.85,0.87,0.017037659741075302,0.9993294947368421,47295,89,13,2603,0.05220612,0.22123834
